TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,"PERCENT OF PEOPLE 5 YEARS AND OVER WHO SPEAK ENGLISH LESS THAN ""VERY WELL""",,,,
R1603,05000US39085,"Lake County, Ohio",54,3,+/-0.8
R1603,05000US39093,"Lorain County, Ohio",54,3,+/-0.6
R1603,05000US39095,"Lucas County, Ohio",54,1.4,+/-0.4
R1603,05000US39099,"Mahoning County, Ohio",54,2.5,+/-0.6
R1603,05000US39113,"Montgomery County, Ohio",54,2.4,+/-0.5
R1603,05000US39151,"Stark County, Ohio",54,0.7,+/-0.3
R1603,05000US39153,"Summit County, Ohio",54,3.2,+/-0.6
R1603,05000US39165,"Warren County, Ohio",54,2.4,+/-0.9
R1603,05000US40027,"Cleveland County, Oklahoma",54,3,+/-0.6
R1603,05000US40031,"Comanche County, Oklahoma",54,1.7,+/-0.5
R1603,05000US40109,"Oklahoma County, Oklahoma",54,6.8,+/-0.6
R1603,05000US40143,"Tulsa County, Oklahoma",54,5.6,+/-0.4
R1603,05000US41005,"Clackamas County, Oregon",54,3.8,+/-0.7
R1603,05000US41039,"Lane County, Oregon",54,2.4,+/-0.6
R1603,05000US41047,"Marion County, Oregon",54,9.2,+/-1.1
R1603,05000US41051,"Multnomah County, Oregon",54,7.3,+/-0.7
R1603,05000US41067,"Washington County, Oregon",54,8.1,+/-0.8
R1603,05000US42003,"Allegheny County, Pennsylvania",54,2.6,+/-0.3
R1603,05000US42011,"Berks County, Pennsylvania",54,7.1,+/-0.7
R1603,05000US42017,"Bucks County, Pennsylvania",54,4.8,+/-0.7
R1603,05000US42027,"Centre County, Pennsylvania",54,2.8,+/-0.7
R1603,05000US42029,"Chester County, Pennsylvania",54,3.9,+/-0.6
R1603,05000US42041,"Cumberland County, Pennsylvania",54,2.7,+/-0.8
R1603,05000US42043,"Dauphin County, Pennsylvania",54,6.4,+/-1.1
R1603,05000US42045,"Delaware County, Pennsylvania",54,4.5,+/-0.6
R1603,05000US42049,"Erie County, Pennsylvania",54,2.2,+/-0.4
R1603,05000US42069,"Lackawanna County, Pennsylvania",54,4.4,+/-0.7
R1603,05000US42071,"Lancaster County, Pennsylvania",54,5.8,+/-0.9
R1603,05000US42077,"Lehigh County, Pennsylvania",54,12.7,+/-1.2
R1603,05000US42079,"Luzerne County, Pennsylvania",54,4.9,+/-0.6
R1603,05000US42089,"Monroe County, Pennsylvania",54,4,+/-1.2
R1603,05000US42091,"Montgomery County, Pennsylvania",54,4.2,+/-0.5
R1603,05000US42095,"Northampton County, Pennsylvania",54,4.3,+/-0.7
R1603,05000US42101,"Philadelphia County, Pennsylvania",54,11.2,+/-0.6
R1603,05000US42129,"Westmoreland County, Pennsylvania",54,0.5,+/-0.2
R1603,05000US42133,"York County, Pennsylvania",54,2.9,+/-0.5
R1603,05000US44003,"Kent County, Rhode Island",54,3.7,+/-1.0
R1603,05000US44007,"Providence County, Rhode Island",54,11.6,+/-1.0
R1603,05000US45019,"Charleston County, South Carolina",54,3.6,+/-0.5
R1603,05000US45045,"Greenville County, South Carolina",54,5.5,+/-0.6
R1603,05000US45051,"Horry County, South Carolina",54,3.1,+/-0.6
R1603,05000US45063,"Lexington County, South Carolina",54,2.9,+/-0.6
R1603,05000US45079,"Richland County, South Carolina",54,3.1,+/-0.6
R1603,05000US45083,"Spartanburg County, South Carolina",54,3.7,+/-0.7
R1603,05000US45091,"York County, South Carolina",54,2.3,+/-0.6
R1603,05000US46099,"Minnehaha County, South Dakota",54,3.9,+/-0.9
R1603,05000US47037,"Davidson County, Tennessee",54,9.3,+/-0.9
